Evento,Tiempo_Parada,Tiempo_Por_Vuelta,Curvas_Lentas,Curvas_Medias,Curvas_Rápidas,Deg_Blando,Deg_Medio,Deg_Duro,Año,Driver,LapNumber,Stint,Compound,TyreLife,Team,TrackStatus,Position,Tiempo_Antes_Pit,Tiempo_Delante,Tiempo_Detras,Piloto_Delante,Piloto_Detras,Parada_Delante,Parada_Detras,Rainfall,TrackTemp,Tráfico,CompuestoBueno
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,GAS,1,1,MEDIUM,1,Toro Rosso,2,20,999.0,6.528999999999996,-99.0,RUS,NADIE,False,False,False,29.4,False,MEDIUM
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,STR,5,1,MEDIUM,5,Racing Point,1,15,63.867,1.1700000000000728,-0.24399999999968713,RAI,KVY,False,False,False,28.0,True,HARD
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,NOR,8,1,SOFT,11,McLaren,1,7,63.434,0.13599999999996726,-0.6649999999999636,SAI,RIC,False,False,False,27.8,True,SOFT
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,GIO,8,1,SOFT,8,Alfa Romeo Racing,1,14,63.230999999999995,1.0670000000000073,-0.05500000000029104,RAI,KVY,False,False,False,27.5,True,SOFT
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,RIC,11,1,SOFT,14,Renault,1,8,62.977000000000004,0.8800000000001091,-0.5519999999996799,HUL,PER,False,False,False,27.6,True,SOFT
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,LEC,12,1,MEDIUM,15,Ferrari,1,2,61.807,8.458000000000084,-0.40299999999979264,HAM,VER,False,False,False,30.5,True,HARD
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,VET,12,1,SOFT,15,Ferrari,1,4,62.354,8.043999999999869,-2.4050000000002,VER,ALB,False,False,False,30.3,True,HARD
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,SAI,12,1,SOFT,15,McLaren,1,7,63.019,0.7390000000000327,-0.6630000000000109,HUL,BOT,False,False,False,30.8,True,SOFT
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,ALB,13,1,MEDIUM,16,Red Bull Racing,1,3,62.632999999999996,13.335000000000036,-6.847999999999956,VER,LEC,False,True,False,28.8,True,HARD
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,HUL,18,1,SOFT,21,Renault,1,7,63.245999999999995,0.31899999999996,-3.0969999999997526,ALB,PER,True,False,False,29.9,True,HARD
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,GRO,18,1,MEDIUM,18,Haas F1 Team,1,15,63.43000000000001,1.4320000000002437,-9.467999999999847,RIC,KUB,True,False,False,28.8,True,SOFT
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,MAG,20,1,MEDIUM,20,Haas F1 Team,1,9,62.941,0.8679999999994834,-0.07400000000052387,RAI,KVY,False,False,False,30.3,True,HARD
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,RAI,22,1,MEDIUM,22,Alfa Romeo Racing,1,9,63.154,4.753999999999905,-0.03600000000005821,KVY,NOR,False,True,False,27.7,True,HARD
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,STR,23,2,HARD,18,Racing Point,1,19,63.05,1.386000000000422,-45.835000000000036,GRO,GAS,False,False,False,29.6,False,HARD
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,KUB,24,1,HARD,24,Williams,1,17,63.475,0.443000000000211,-0.43400000000019645,RUS,GRO,False,True,False,27.8,True,HARD
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,VER,25,1,MEDIUM,28,Red Bull Racing,1,2,62.003,14.708999999999833,-14.746000000000095,HAM,LEC,False,True,False,27.6,True,HARD
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,HAM,26,1,MEDIUM,29,Mercedes,1,1,61.786,-99.0,-27.456999999999425,NADIE,LEC,False,True,False,30.5,False,HARD
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,GIO,26,2,HARD,18,Alfa Romeo Racing,1,15,62.867999999999995,13.563000000000102,-1.9600000000000364,RAI,GRO,False,False,False,28.8,True,MEDIUM
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,BOT,29,1,MEDIUM,32,Mercedes,1,4,61.704,17.688000000000102,-3.125,VER,VET,True,True,False,29.6,True,HARD
Abu Dhabi Grand Prix,22.284842592592593,97.49257331115003,11,6,4,ALTA,ALTA,BAJA,2019,RUS,32,1,HARD,32,Williams,1,16,63.309,15.402999999999338,-0.5460000000002765,GRO,GIO,True,True,False,28.1,True,HARD
